Company,Company,Ticker,Market_Cap,Firm_Efficiency,Recruitment_Rate_Disclosure_Binary,Reported_EE0-1_Binary,Reported_Mean_Gender_Gap_Binary
Zoetis Inc,Zoetis Inc,ZTS,75360,0.1826,0,0,0
Zebra Technologies Corp.,Zebra Technologies Corp.,ZBRA,20404,0.0225,0,0,0
Zimmer Biomet Holdings Inc,Zimmer Biomet Holdings Inc,ZBH,30394,0.1326,0,0,1
Yum! Brands  Inc.,Yum! Brands  Inc.,YUM,32184,0.23199999999999998,0,0,0
Xylem Inc,Xylem Inc,XYL,17713,0.0415,0,0,1
DENTSPLY SIRONA Inc,DENTSPLY SIRONA Inc,XRAY,11647,0.001,0,0,0
Exxon Mobil Corporation,Exxon Mobil Corporation,XOM,245502,1.0,0,0,0
Xilinx  Inc.,Xilinx  Inc.,XLNX,34982,0.0029,1,0,0
Constellation Brands  Inc.,Constellation Brands  Inc.,STZ,40339,0.2312,0,0,0
S&P Global Inc,S&P Global Inc,SPGI,77401,0.2936,0,0,1
Simon Property Group Inc,Simon Property Group Inc,SPG,44365,0.0055,0,0,0
Waste Management  Inc.,Waste Management  Inc.,WM,48621,0.3545,0,0,0
Pfizer Inc.,Pfizer Inc.,PFE,233331,0.7501,0,0,1
PepsiCo  Inc.,PepsiCo  Inc.,PEP,198827,0.8713,0,1,0
Paychex  Inc.,Paychex  Inc.,PAYX,32966,0.0012,0,0,0
Oracle Corporation,Oracle Corporation,ORCL,179459,0.7177,0,1,0
Omnicom Group Inc.,Omnicom Group Inc.,OMC,13692,0.4645,0,0,0
Old Dominion Freight Line Inc,Old Dominion Freight Line Inc,ODFL,22749,0.0009,0,0,0
Realty Income Corp,Realty Income Corp,O,21590,0.0058,0,0,0
NVIDIA Corporation,NVIDIA Corporation,NVDA,325878,0.8838,1,1,0
Nucor Corporation,Nucor Corporation,NUE,16990,0.5987,0,0,1
Northern Trust Corporation,Northern Trust Corporation,NTRS,19058,0.4309,0,0,1
NetApp Inc.,NetApp Inc.,NTAP,13535,0.1109,0,1,1
NRG Energy Inc,NRG Energy Inc,NRG,7111,0.5215,0,0,0
ServiceNow Inc,ServiceNow Inc,NOW,99943,0.0823,0,1,1
Northrop Grumman Corporation,Northrop Grumman Corporation,NOC,49188,0.6931,0,1,1
Nike Inc,Nike Inc,NKE,217207,1.0,0,0,1
Netflix Inc,Netflix Inc,NFLX,227834,0.9552,0,1,0
Newmont Corporation,Newmont Corporation,NEM,47983,0.6609999999999999,1,0,0
Nasdaq Inc,Nasdaq Inc,NDAQ,20963,0.001,0,0,0
Alexandria Real Estate Equities Inc,Alexandria Real Estate Equities Inc,ARE,20243,0.0031,0,0,0
Amphenol Corporation,Amphenol Corporation,APH,40645,0.2947,0,0,0
Aon PLC,Aon PLC,AON,50146,0.4055,0,0,1
ANSYS  Inc.,ANSYS  Inc.,ANSS,29406,0.001,0,0,0
Arista Networks Inc,Arista Networks Inc,ANET,22090,0.0035,0,0,0
Amazon.com  Inc.,Amazon.com  Inc.,AMZN,1609809,1.0,0,1,1
American Tower Corp,American Tower Corp,AMT,94701,0.2186,0,1,0
Ameriprise Financial  Inc.,Ameriprise Financial  Inc.,AMP,23277,1.0,0,0,0
Amgen  Inc.,Amgen  Inc.,AMGN,131068,0.6728,0,1,1
AMETEK  Inc.,AMETEK  Inc.,AME,26642,0.0323,0,0,1
Applied Materials  Inc.,Applied Materials  Inc.,AMAT,80729,0.8193,0,1,0
Alexion Pharmaceuticals  Inc.,Alexion Pharmaceuticals  Inc.,ALXN,25903,0.168,0,0,0
Allegion PLC,Allegion PLC,ALLE,10070,0.0014,0,0,0
Align Technology  Inc.,Align Technology  Inc.,ALGN,40208,0.0013,0,0,0
Akamai Technologies  Inc.,Akamai Technologies  Inc.,AKAM,16902,0.0014,0,0,0
J B Hunt Transport Services Inc,J B Hunt Transport Services Inc,JBHT,14470,0.5726,0,0,0
Dow Inc,Dow Inc,DOW,39165,1.0,0,0,0
Corteva Inc,Corteva Inc,CTVA,28391,0.8844,0,0,0
Centene Corp,Centene Corp,CNC,35245,1.0,0,0,0
Medtronic PLC,Medtronic PLC,MDT,152286,0.5585,0,1,1
TJX Companies Inc,TJX Companies Inc,TJX,78318,0.7901,0,0,1
Copart  Inc.,Copart  Inc.,CPRT,27510,0.0052,0,0,1
Johnson Controls International PLC,Johnson Controls International PLC,JCI,32957,0.46299999999999997,0,0,1
Arthur J Gallagher & Co,Arthur J Gallagher & Co,AJG,23182,1.0,0,0,0
Air Products & Chemicals  Inc.,Air Products & Chemicals  Inc.,APD,59748,0.2625,0,0,1
Campbell Soup Company,Campbell Soup Company,CPB,14412,0.4296,0,0,0
NortonLifeLock Inc,NortonLifeLock Inc,NLOK,11730,0.0006,0,0,0
Healthpeak Properties Inc,Healthpeak Properties Inc,PEAK,18253,0.0076,1,0,0
ViacomCBS Inc,ViacomCBS Inc,VIAC,21956,0.5539,0,0,0
Otis Worldwide Corp,Otis Worldwide Corp,OTIS,27759,1.0,0,0,0
Carrier Global Corp,Carrier Global Corp,CARR,32986,1.0,0,0,0
Trane Technologies PLC,Trane Technologies PLC,TT,33752,0.3178,0,0,0
Raytheon Technologies Corp,Raytheon Technologies Corp,RTX,109582,0.7012,0,0,1
